# Space group      : Pm-3m (221)
# Atomic species   : ['Cs', 'Pb', 'Br']
# Number of atoms  : 5    
# SOC              : True 
# Number of elec   : 34.0 
# Number of bands  : 48   
# Cell vectors in Å: a=[5.874 0.    0.   ], b=[0.    5.874 0.   ], c=[0.    0.    5.874]
# Band gap (eV)    : 1.7509 eV
# VBM: 0.0286 eV, band 33, k-point [0.5, 0.5, 0.5]
# CBM: 1.7795 eV, band 35, k-point [0.5, 0.5, 0.5]
 
#	Gx	Gy	Gz	Re(C_nk)	Im(C_nk)
n_band : 33,	energy : -2.26,	occupation : 1.0
	2	-2	2	  -0.00782689        0.02139474
	3	-2	2	   0.00119131        0.00273057
	4	-2	2	   0.00008055        0.00444294
	5	-2	2	   0.00030281        0.00056886
	6	-2	2	   0.00009287        0.00046357
	-6	-2	2	  -0.00049259       -0.00011359
	-5	-2	2	  -0.00053003       -0.00025227
	-4	-2	2	  -0.00475868       -0.00032807
	-3	-2	2	  -0.00229401       -0.00070554
	-2	-2	2	  -0.02343091        0.00600983
	-1	-2	2	  -0.00378085        0.00241136
	0	-1	2	  -0.01386346        0.00326215
	1	-1	2	   0.01529393       -0.01563341
	2	-1	2	  -0.00405487        0.00164405
	3	-1	2	   0.00135086       -0.00398527
	4	-1	2	  -0.00032894        0.00063579
	5	-1	2	   0.00000060       -0.00052228
	6	-1	2	  -0.00001855        0.00010064
	-6	-1	2	  -0.00012378       -0.00004683
	-5	-1	2	   0.00077577        0.00010237
	-4	-1	2	  -0.00089272       -0.00029378
	-3	-1	2	   0.00616212       -0.00007506
	-2	-1	2	  -0.00439660       -0.00021849
	-1	-1	2	   0.02600855       -0.00657832
	0	0	3	  -0.01315882        0.00337687
	1	0	3	   0.00387648        0.00100075
	2	0	3	  -0.00369595        0.00279715
	3	0	3	   0.00107504       -0.00005713
	4	0	3	  -0.00018705        0.00079143
	5	0	3	   0.00013275       -0.00005409
	6	0	3	   0.00000828        0.00010053
	-6	0	3	  -0.00017738       -0.00005579
	-5	0	3	   0.00023889        0.00013872
	-4	0	3	  -0.00153563       -0.00031802
	-3	0	3	   0.00160132        0.00092735
	-2	0	3	  -0.00712352        0.00010793
	-1	0	3	   0.00521659        0.00299863
	0	1	3	   0.00291771       -0.00270238
	1	1	3	   0.01398480       -0.00359034
	2	1	3	  -0.00032105       -0.00331198
	3	1	3	   0.00121767       -0.00330217
	4	1	3	  -0.00032910       -0.00091039
	5	1	3	  -0.00012255       -0.00066701
	6	1	3	  -0.00006855       -0.00011999
	-6	1	3	   0.00013876        0.00008426
	-5	1	3	   0.00131445        0.00075057
	-4	1	3	   0.00110092        0.00050184
	-3	1	3	   0.00873015        0.00410909
	-2	1	3	   0.00389485        0.00086169
	-1	1	3	   0.02457440        0.00686122
	0	2	3	  -0.00445775       -0.00066100
	1	2	3	   0.00111698        0.00312580
	2	2	3	  -0.00129747        0.00035459
	3	2	3	   0.00029139        0.00073334
	4	2	3	  -0.00001505        0.00025263
	5	2	3	   0.00003468        0.00006550
	6	2	3	   0.00001596        0.00003125
	-6	2	3	  -0.00009384       -0.00006138
	-5	2	3	   0.00012326        0.00020550
	-4	2	3	  -0.00080498       -0.00039802
	-3	2	3	   0.00072763        0.00141066
	-2	2	3	  -0.00297513       -0.00095757
	-1	2	3	   0.00186416        0.00415336
	0	3	3	   0.00094093       -0.00043128
	1	3	3	   0.00241653        0.00236778
	2	3	3	  -0.00005755       -0.00077828
	3	3	3	   0.00000034       -0.00000058
	4	3	3	  -0.00013258       -0.00027613
	5	3	3	  -0.00010338       -0.00010268
	-5	3	3	   0.00043682        0.00042990
	-4	3	3	   0.00041341        0.00026207
	-3	3	3	   0.00249814        0.00246218
	-2	3	3	   0.00121352        0.00047508
	-1	3	3	   0.00510990        0.00502396
	0	4	3	  -0.00049152       -0.00060330
	1	4	3	   0.00008217        0.00097643
	2	4	3	  -0.00011515       -0.00020707
	3	4	3	  -0.00000195        0.00031363
	4	4	3	   0.00002878       -0.00000556
	5	4	3	  -0.00000444        0.00002947
	-5	4	3	   0.00002632        0.00007083
	-4	4	3	  -0.00016879       -0.00017187
	-3	4	3	   0.00013382        0.00049729
	-2	4	3	  -0.00046750       -0.00049170
	-1	4	3	   0.00022982        0.00116778
	0	5	3	   0.00013457       -0.00000903
	1	5	3	   0.00015761        0.00065772
	2	5	3	   0.00000112       -0.00007143
	3	5	3	  -0.00005154        0.00014227
	4	5	3	  -0.00001655       -0.00002338
	-4	5	3	   0.00005080        0.00004344
	-3	5	3	   0.00028111        0.00047047
	-2	5	3	   0.00016545        0.00009077
	-1	5	3	   0.00046999        0.00096576
	0	6	3	  -0.00003360       -0.00009233
	1	6	3	  -0.00001234        0.00014093
	2	6	3	   0.00000165       -0.00003442
	-2	6	3	  -0.00004371       -0.00007383
	-1	6	3	   0.00000010        0.00015680
	0	-6	3	  -0.00013610        0.00013453
	1	-6	3	   0.00009167       -0.00014312
	2	-6	3	  -0.00005890        0.00009991
	-2	-6	3	  -0.00010434        0.00006050
	-1	-6	3	   0.00010409       -0.00012728
	0	-5	3	   0.00015683       -0.00024575
	1	-5	3	   0.00087795       -0.00131302
	2	-5	3	   0.00002704       -0.00024736
	3	-5	3	   0.00021937       -0.00059824
	4	-5	3	  -0.00000500       -0.00007696
	-4	-5	3	   0.00006229       -0.00001009
	-3	-5	3	   0.00055197       -0.00027008
	-2	-5	3	   0.00019132       -0.00008513
	-1	-5	3	   0.00119037       -0.00100507
	0	-4	3	  -0.00124514        0.00101763
	1	-4	3	   0.00079849       -0.00098633
	2	-4	3	  -0.00055629        0.00074318
	3	-4	3	   0.00027190       -0.00043474
	4	-4	3	  -0.00008030        0.00023580
	5	-4	3	   0.00002919       -0.00006330
	-5	-4	3	   0.00005987       -0.00002196
	-4	-4	3	  -0.00027808        0.00006954
	-3	-4	3	   0.00040750       -0.00025118
	-2	-4	3	  -0.00090886        0.00045847
	-1	-4	3	   0.00094619       -0.00079534
	0	-3	3	   0.00104128       -0.00163443
	1	-3	3	   0.00618229       -0.00793527
	2	-3	3	   0.00007437       -0.00163206
	3	-3	3	   0.00125289       -0.00342478
	4	-3	3	  -0.00008199       -0.00051378
	5	-3	3	   0.00006336       -0.00055892
	-5	-3	3	   0.00060353       -0.00002629
	-4	-3	3	   0.00046389        0.00002458
	-3	-3	3	   0.00375072       -0.00096203
	-2	-3	3	   0.00134556       -0.00037883
	-1	-3	3	   0.00887619       -0.00527980
	0	-2	3	  -0.00641903        0.00332370
	1	-2	3	   0.00322512       -0.00267114
	2	-2	3	  -0.00225891        0.00230074
	3	-2	3	   0.00092872       -0.00100926
	4	-2	3	  -0.00021379        0.00067071
	5	-2	3	   0.00011702       -0.00015998
